category,activity,task_name,task_class,description,steps,default_instruction,base_class,source_file
washing_dishes,Washing Dishes,Dry Dishes,DryDishes,Simulates the task of drying dishes.,Pick the cup and bowl from the sink and place them on the counter for drying.,Pick the cup and bowl from the sink and place them on the counter for drying.,Kitchen,composite/washing_dishes/dry_dishes.py
washing_dishes,Washing Dishes,Dry Drinkware,DryDrinkware,Simulates the task of drying drinkware.,Pick the mug from the counter and place it upside down in the open cabinet.,Pick up the mug and place it upside down in the open cabinet.,Kitchen,composite/washing_dishes/dry_drinkware.py
washing_dishes,Washing Dishes,Dump Leftovers,DumpLeftovers,Simulates the process of clearing leftover food items from a bowl before washing it.,1. Dump the leftover food items from the bowl onto the counter. 2. Place the empty bowl in the sink for washing.,,Kitchen,composite/washing_dishes/dump_leftovers.py
washing_dishes,Washing Dishes,Place Dishes by the Sink: a composite task for Washing Dishes activity,PlaceDishesBySink,Navigate to the counter containing dishes and use the pick-and-place skill to transport dishes from the counter to the counter next to the sink.,1. Locate the cabinet containing the cleaning items. 2. Open the cabinet door. 3. Retrieve the first cleaning item and place it near the sink. 4. Retrieve the second cleaning item and place it near the sink.,Pick the {dish0_lang} and {dish1_lang} from the counter and place them on the counter next to the sink.,Kitchen,composite/washing_dishes/place_dishes_by_sink.py
washing_dishes,Washing Dishes,Place Clean Dishes on Dish Rack: a composite task for Washing Dishes activity,PlaceOnDishRack,"Simulates the task of transferring clean dishes from the right sink basin to the dish rack for drying, while leaving dirty items in the left basin untouched.",1. Identify clean dishes in the right sink basin 2. Pick up each clean dish from the right basin 3. Place them on the dish rack for drying 4. Leave dirty items in the left basin undisturbed,,Kitchen,composite/washing_dishes/place_on_dish_rack.py
washing_dishes,Washing Dishes,Pre-Rinse Station Task,PreRinseStation,Simulates the task of sorting dishes into two separate basins of a double sink.,,Place the {left_lang} in the left basin and the {right_lang} in the right basin of the sink.,Kitchen,composite/washing_dishes/pre_rinse_station.py
washing_dishes,Washing Dishes,Pre Soak Pan,PreSoakPan,Simulates the task of pre-soaking a pan.,Pick the pan and sponge and place them into the sink. Then turn on the sink.,Pick the pan and sponge and place them into the sink. Then turn on the water.,Kitchen,composite/washing_dishes/pre_soak_pan.py
washing_dishes,Washing Dishes,Put Away Washing Supplies,ReturnWashingSupplies,The cleaning supplies should be picked up from the sink and placed back in the cabinet.,1. Pick up the first cleaning item from the sink. 2. Place the cleaning item back in the cabinet. 3. Repeat for the second cleaning item. 4. Ensure the cabinet doors are closed.,"Pick up the {obj_lang} from the sink, and place them back in the {self.cabinet.nat_lang}",Kitchen,composite/washing_dishes/return_washing_supplies.py
washing_dishes,Washing Dishes,Rinse Dishes,RinseBowls,Simulates the task of rinsing dishes under running water.,"Pick up a bowl from the counter and hold it under the running faucet. Ensure each bowl is rinsed for at least 25 timesteps. Once rinsed, place each bowl on the counter.",Rinse each bowl for a few seconds and place them down in the sink or on the counter.,Kitchen,composite/washing_dishes/rinse_bowls.py
washing_dishes,Washing Dishes,Rinse Fragile Item,RinseFragileItem,Simulates the process of rinsing and securing a fragile item on a drying rack.,1) Gently pick up the fragile item and navigate to the sink 2) Rinse the item under running water 3) Place the item on a drying rack,Rinse the teapot briefly and place it in the dish rack when done.,Kitchen,composite/washing_dishes/rinse_fragile_item.py
washing_dishes,Washing Dishes,Scrub Bowl Task,ScrubBowl,Simulates scrubbing a bowl in the sink using a sponge.,1. Pick up the sponge from the counter near the sink. 2. Scrub the bowl inside the sink using the sponge.,Use the sponge to scrub the bowl inside the sink.,Kitchen,composite/washing_dishes/scrub_bowl.py
washing_dishes,Washing Dishes,Soak Sponge,SoakSponge,Simulates the process of soaking a sponge under running water.,"Pick up the sponge and hold it under the running faucet. Ensure the sponge is soaked for at least 25 timesteps. Once soaked, place the sponge inside the sink.",Soak the sponge with water for a few seconds and then drop it inside the sink.,Kitchen,composite/washing_dishes/soak_sponge.py
washing_dishes,Washing Dishes,Sorting Cleanup,SortingCleanup,Simulates the task of sorting and cleaning dishes.,Pick the mug and place it in the sink. Pick the bowl and place it in the cabinet and then close the cabinet.,,Kitchen,composite/washing_dishes/sorting_cleanup.py
washing_dishes,Washing Dishes,Stack Bowls,StackBowlsInSink,Simulates the task of stacking bowls in the sink.,Stack the bowls in the sink.,Stack the bowls in the sink.,Kitchen,composite/washing_dishes/stack_bowls.py
washing_dishes,Washing Dishes,Transport Cookware,TransportCookware,Stimulates transporting cookware (pots and pans) from the stove to the sink.,1. Identify cookware (pots and pans) on the stove. 2. Transport cookware to the sink.,Move the pot and pan from the stove into the sink.,Kitchen,composite/washing_dishes/transport_cookware.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Afterwash Sorting,AfterwashSorting,Simulates the task of sorting washed fruits and vegetables.,"Pick the foods of the same kind from the sink and place them in one bowl. Place the food of a different kind in the other bowl. Then, turn off the sink.",,Kitchen,composite/washing_fruits_and_vegetables/afterwash_sorting.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Air Dry Fruit,AirDryFruit,,,,Kitchen,composite/washing_fruits_and_vegetables/airdry_fruit.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Clear Clutter,ClearClutter,Simulates the task of washing fruits and vegetables.,"Pick up the fruits and vegetables and place them in the sink turn on the sink to wash them. Then, turn the sink off, put them in the tray.",,Kitchen,composite/washing_fruits_and_vegetables/clear_clutter.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Clear Sink Space,ClearSinkSpace,,,Pick the objects in the sink and place them on the counter to clear sink space for washing produce.,Kitchen,composite/washing_fruits_and_vegetables/clear_sink_space.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Drain Veggies,DrainVeggies,Simulates the task of draining washed vegetables.,Dump the vegetables from the pot into the sink. Then turn on the sink and wash the vegetables. Then turn off the sink and put the vegetables back in the pot.,,Kitchen,composite/washing_fruits_and_vegetables/drain_veggies.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Gather Produce Washing,GatherProduceWashing,Simulates the process of gathering fruits and vegetables from the fridge and placing them in a bowl for washing preparation.,Pick up the fruits/vegetables from the fridge and place them in the bowl next to the sink for washing preparation.,,Kitchen,composite/washing_fruits_and_vegetables/gather_produce_washing.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Prepare Vegetable Roasting,PrepareVegetableRoasting,Simulates the process of preparing vegetables for roasting by washing it in the sink and then placing it on an oven tray.,Pick the vegetable from the fridge and hold it under the sink faucet to wash it. Then place the vegetable on the oven tray next to the sink.,,Kitchen,composite/washing_fruits_and_vegetables/prepare_vegetable_roasting.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Prewash Food Assembly,PrewashFoodAssembly,Simulates the process of assembling fruits and vegetables in a bowl and prewashing them.,Pick the fruit/vegetable from the cabinet and place it in the bowl. Then pick the bowl and place it in the sink. Then turn on the sink facuet.,,Kitchen,composite/washing_fruits_and_vegetables/prewash_food_assembly.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Prewash Food Sorting,PrewashFoodSorting,,,,Kitchen,composite/washing_fruits_and_vegetables/prewash_food_sorting.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Wash Fruit Colander,WashFruitColander,,,"Put the colander in the sink, put the {fruit_lang} in the colander, and turn on the sink faucet and pour water over the colander.",Kitchen,composite/washing_fruits_and_vegetables/wash_fruit_colander.py
washing_fruits_and_vegetables,Washing Fruits And Vegetables,Wash In Saucepan,WashInSaucepan,Simulates the process of taking vegetables from the fridge and placing them in a saucepan with water next to the sink for washing.,Pick up 2 vegetables from the fridge and place them in the saucepan with water next to the sink for washing.,,Kitchen,composite/washing_fruits_and_vegetables/wash_in_saucepan.py
